nation,missiles_used,others_cured,hordes_used,others_zombified,tzes_used,others_killed,hit_by_missiles,cured_by_others,hit_by_hordes,zombified_by_others,hit_by_tzes,killed_by_others,min_time
skyneria,0,0,0,0,0,0,115,42298,0,0,0,0,0
sniper_rifle_system_99c-series_2_anti-ma,0,0,0,0,0,0,32,2036,0,0,0,0,0
social_democratic_korean_council,0,0,0,0,2,70,10,2873,0,0,0,0,40
socialistic_britain,0,0,0,0,0,0,0,0,1,616,0,0,0
solsetur,0,0,2,3,0,0,0,0,0,0,0,0,40
somewhere_on_this_earth,0,0,3,1624,0,0,0,0,0,0,0,0,60
somnea,9,61,0,0,0,0,60,528,0,0,0,0,180
sonnveld,0,0,0,0,0,0,269,76490,0,0,0,0,0
spode_humbled_minions,0,0,0,0,0,0,0,0,1,658,0,0,0
starfleetmedical,0,0,0,0,0,0,47,13108,0,0,0,0,0
station_8,0,0,0,0,0,0,13,195,0,0,0,0,0
stralla,0,0,0,0,0,0,50,3827,0,0,0,0,0
sudonea,0,0,0,0,0,0,25,2428,0,0,0,0,0
taco_respublic,0,0,0,0,0,0,106,16996,0,0,0,0,0
talgarth,0,0,0,0,0,0,54,6953,0,0,0,0,0
